turnid,racetime,pos_A,pos_B,pos_C,pos_D,pos_E,pos_F,pos_G,pos_H
1,634,1,3,7,7,8,2,5,10
2,724,4,3,1,7,9,5,2,11
3,763,3,2,4,7,8,6,1,10
4,801,2,1,3,6,7,5,4,9
5,871,2,4,3,6,8,5,1,9
6,965,,,,,,,,
7,1005,2,6,8,7,4,5,1,3
8,1044,1,8,6,7,3,4,5,2
9,1115,1,5,7,8,2,3,4,6
10,1204,2,5,1,3,4,6,7,8
11,1243,1,5,4,2,3,6,7,8
12,1282,2,5,4,1,3,6,7,8
13,1355,7,2,1,5,6,3,4,8
14,1443,6,3,,1,7,2,,8
15,1485,4,3,1,5,6,7,2,8
16,1524,1,4,3,5,6,7,2,8
17,1592,1,5,2,3,4,6,8,7
18,1681,1,8,4,3,7,2,6,5
19,1723,3,8,4,2,7,1,6,5
20,1761,1,8,5,4,7,6,3,2
21,1831,5,8,2,3,7,4,1,6
22,1921,4,7,6,3,2,5,8,1
23,1961,4,7,6,3,2,5,8,1
24,1999,3,8,5,2,7,4,6,1
