temp,outlier,resting,power,moving,lat,lon,velocity_smooth,grade_smooth,cadence,distance,altitude,total_elevation,timer_time,watts_calc,time
,FALSE,FALSE,82,FALSE,53.598175,10.031749,0,0,93,0,-39.8,0,0,0,0
17,TRUE,FALSE,78,TRUE,53.598125,10.031749,0,0,91,5.4,-39.8,0,1,0,1
17,FALSE,FALSE,77,TRUE,53.598068,10.031749,0,0,91,11.7,-39.8,0,2,137,2
17,FALSE,FALSE,99,TRUE,53.598007,10.031751,0,0,90,18.8,-39.8,0,3,151,3
17,FALSE,FALSE,95,TRUE,53.597942,10.031753,6.5,0,89,25.8,-39.8,0,4,77,4
17,FALSE,FALSE,102,TRUE,53.597885,10.031754,6.5,0,88,32.6,-39.8,0,5,63,5
17,FALSE,FALSE,95,TRUE,53.59782,10.031755,6.8,0,88,39.6,-39.8,0,6,101,6
12,FALSE,TRUE,169,FALSE,53.59124,10.024637,0,0,101,57.1,-39.8,0,7,0,1762
12,FALSE,FALSE,165,TRUE,53.59124,10.024581,0,-0.6,100,60.8,-39.8,0,8,312,1763
12,FALSE,FALSE,264,TRUE,53.591244,10.024466,0,0,99,68.5,-39.8,0,9,424,1764
12,FALSE,FALSE,250,TRUE,53.591251,10.02436,0,0,100,75.5,-40,0,10,0,1765
12,FALSE,FALSE,229,TRUE,53.591255,10.024255,0,0.7,100,82.5,-39.8,0,11,240,1766
12,FALSE,FALSE,237,TRUE,53.591263,10.024148,0,1.4,97,89.6,-39.8,0,12,96,1767
12,FALSE,FALSE,222,TRUE,53.59127,10.024042,0,0.7,99,96.7,-39.6,0,13,243,1768
12,FALSE,FALSE,200,TRUE,53.591278,10.023936,0,0.7,99,103.8,-39.6,0,14,88,1769
12,FALSE,FALSE,211,TRUE,53.591289,10.023831,7.1,0.7,101,110.9,-39.6,0,15,88,1770
12,FALSE,FALSE,211,TRUE,53.591305,10.023728,7.1,0.7,100,117.8,-39.6,0,16,66,1771
12,FALSE,FALSE,209,TRUE,53.591316,10.023624,7.1,1.4,100,124.9,-39.4,0,17,258,1772
12,FALSE,FALSE,218,TRUE,53.591331,10.02352,7,1.4,99,131.9,-39.4,0,18,77,1773
12,FALSE,FALSE,209,TRUE,53.591351,10.023418,7,0.7,98,139,-39.2,0,19,251,1774
12,FALSE,FALSE,181,TRUE,53.59137,10.023322,7,0.7,99,145.7,-39.2,0,20,44,1775
12,FALSE,FALSE,242,TRUE,53.591389,10.023221,7,0,99,152.8,-39.2,0,21,119,1776
12,FALSE,FALSE,252,TRUE,53.591412,10.023118,7,0.7,98,160,-39.2,0,22,99,1777
12,FALSE,FALSE,250,TRUE,53.591431,10.023023,7,0.7,98,166.8,-39.2,0,23,47,1778
12,FALSE,FALSE,252,TRUE,53.591454,10.022924,6.9,0.7,97,173.6,-39,0,24,234,1779
12,FALSE,FALSE,255,TRUE,53.591469,10.022824,7,1.5,97,180.5,-39,0,25,90,1780
12,FALSE,FALSE,248,TRUE,53.591484,10.022725,6.9,0.7,98,187.4,-39,0,26,82,1781
12,FALSE,FALSE,250,TRUE,53.591499,10.02263,6.8,1.5,98,193.9,-38.8,0,27,194,1782
12,FALSE,FALSE,249,TRUE,53.591518,10.022534,6.7,1.5,98,200.5,-38.8,0,28,81,1783
12,FALSE,FALSE,233,TRUE,53.591534,10.022437,6.7,1.5,97,207.2,-38.6,0,29,239,1784
12,FALSE,FALSE,242,TRUE,53.591549,10.02234,6.7,2.2,98,213.9,-38.6,0,30,76,1785
12,FALSE,FALSE,200,TRUE,53.591564,10.022243,6.6,1.5,98,220.5,-38.4,0,31,220,1786
12,FALSE,FALSE,179,TRUE,53.591579,10.022144,6.7,2.3,98,227.2,-38.2,0,32,239,1787
12,FALSE,FALSE,177,TRUE,53.591591,10.022048,6.6,1.5,99,233.7,-38.2,0,33,55,1788
12,FALSE,FALSE,165,TRUE,53.591606,10.021952,6.6,1.6,97,240.3,-38,2,34,236,1789
12,FALSE,FALSE,146,TRUE,53.591618,10.021857,6.6,1.5,97,246.7,-38,2,35,52,1790
12,FALSE,FALSE,205,TRUE,53.591625,10.021764,6.5,0.8,98,253,-37.8,2.2,36,212,1791
