temp,outlier,resting,power,moving,lat,lon,velocity_smooth,grade_smooth,cadence,distance,altitude,total_elevation,timer_time,time
,FALSE,FALSE,180,FALSE,53.602142,10.027843,0,3,58,0,89.6,0,0,0
17,FALSE,FALSE,161,TRUE,53.602147,10.02787,1.8,2.1,58,1.8,89.6,0,1,1
17,FALSE,FALSE,162,TRUE,53.602152,10.027899,2,3.1,59,3.9,89.6,0,2,2
18,FALSE,FALSE,162,TRUE,53.602158,10.02794,2.2,3.6,59,6.7,89.8,0,3,3
18,FALSE,FALSE,135,TRUE,53.602158,10.027986,2.4,3.3,53,9.7,89.8,0,4,4
18,FALSE,FALSE,98,TRUE,53.602155,10.028033,2.6,1.6,43,12.9,90,0,5,5
18,FALSE,FALSE,61,TRUE,53.602141,10.028076,2.9,1.5,32,16.1,90,0,6,6
18,FALSE,FALSE,24,TRUE,53.602121,10.028111,3.1,0,22,19.2,90,0,7,7
18,FALSE,FALSE,90,TRUE,53.602098,10.028144,3.2,0,36,22.8,90,0,8,8
18,FALSE,FALSE,153,TRUE,53.602067,10.028174,3.4,0,63,26.8,90,0,9,9
18,FALSE,FALSE,160,TRUE,53.602021,10.028191,3.8,0,65,32,90,0,10,10
18,FALSE,FALSE,70,TRUE,53.601979,10.028196,4.1,0,68,36.8,90,0,11,11
18,FALSE,FALSE,112,TRUE,53.601937,10.028192,4.5,0,65,41.5,90,0,12,12
18,FALSE,FALSE,136,TRUE,53.601894,10.028188,4.7,-1.1,64,46.1,90,0,13,13
18,FALSE,FALSE,139,TRUE,53.601852,10.028184,4.8,-1.1,67,50.7,90,0,14,14
18,FALSE,FALSE,125,TRUE,53.601815,10.028182,4.6,-1.1,70,54.8,89.8,0,15,15
18,FALSE,FALSE,113,TRUE,53.601777,10.028187,4.5,-1.1,71,59.3,89.8,0,16,16
18,FALSE,FALSE,104,TRUE,53.601735,10.028191,4.5,0,72,63.8,89.8,0,17,17
18,FALSE,FALSE,135,TRUE,53.601694,10.028198,4.5,0,73,68.4,89.8,0,18,18
18,FALSE,FALSE,95,TRUE,53.601656,10.028205,4.4,0,74,72.8,89.8,0,19,19
18,FALSE,FALSE,110,TRUE,53.601611,10.028206,4.6,0,74,77.9,89.8,0,20,20
18,FALSE,FALSE,125,TRUE,53.601565,10.028203,4.7,0,75,83,89.8,0,21,21
18,FALSE,FALSE,97,TRUE,53.601516,10.028207,4.9,0,79,88.4,89.8,0,22,22
18,FALSE,FALSE,50,TRUE,53.601465,10.02821,5.1,0,76,94,89.8,0,23,23
18,FALSE,FALSE,34,TRUE,53.601415,10.028217,5.3,-0.9,73,99.4,89.8,0,24,24
18,FALSE,FALSE,90,TRUE,53.601367,10.028224,5.4,-0.9,81,104.9,89.8,0,25,25
18,FALSE,FALSE,103,TRUE,53.60132,10.028231,5.4,-1.8,78,110.2,89.6,0,26,26
18,FALSE,FALSE,103,TRUE,53.601271,10.028237,5.4,-1.8,78,115.6,89.6,0,27,27
18,FALSE,FALSE,83,TRUE,53.60122,10.02824,5.5,-1.8,80,121.5,89.4,0,28,28
18,FALSE,FALSE,108,TRUE,53.601168,10.028245,5.5,-1.8,77,127.1,89.4,0,29,29
18,FALSE,FALSE,114,TRUE,53.60112,10.02825,5.5,-1.8,76,132.4,89.2,0,30,30
18,FALSE,FALSE,123,TRUE,53.601073,10.028252,5.5,-2.6,76,137.9,89.2,0,31,31
18,FALSE,FALSE,108,TRUE,53.601017,10.028254,5.7,-2.4,76,144.1,89,0,32,32
18,FALSE,FALSE,60,TRUE,53.600959,10.028254,5.8,-3.1,73,150.4,88.8,0,33,33
18,FALSE,FALSE,25,TRUE,53.6009,10.028257,6,-3.1,67,156.9,88.6,0,34,34
18,FALSE,FALSE,50,TRUE,53.600841,10.02827,6.2,-2.3,72,163.5,88.4,0,35,35
18,FALSE,FALSE,59,TRUE,53.600783,10.028283,6.4,-2.4,62,170.1,88.2,0,36,36
18,FALSE,FALSE,40,TRUE,53.600726,10.028296,6.5,-2.5,42,176.4,88.2,0,37,37
18,FALSE,FALSE,21,TRUE,53.600678,10.028304,6.3,-2.6,23,182,88,0,38,38
18,FALSE,FALSE,0,TRUE,53.600626,10.028316,6.2,-2.8,3,187.9,87.8,0,39,39
18,FALSE,FALSE,0,TRUE,53.600577,10.028323,6,-2.9,0,193.3,87.6,0,40,40
18,FALSE,FALSE,0,TRUE,53.600534,10.028325,5.6,-3.1,0,198,87.6,0,41,41
18,FALSE,FALSE,0,TRUE,53.600496,10.028335,5.2,-3.3,0,202.5,87.4,0,42,42
18,FALSE,FALSE,0,TRUE,53.600456,10.028352,5,-3.3,0,207,87.2,0,43,43
18,FALSE,FALSE,0,TRUE,53.600417,10.028383,4.8,-3.3,0,211.7,87,0,44,44
18,FALSE,FALSE,0,TRUE,53.600385,10.028429,4.6,-2.4,0,216.4,87,0,45,45
18,FALSE,FALSE,0,TRUE,53.600363,10.028475,4.5,-2.6,0,220.5,86.8,0,46,46
18,FALSE,FALSE,0,TRUE,53.60034,10.028514,4.3,-3.1,0,224,86.8,0,47,47
18,FALSE,FALSE,0,TRUE,53.600319,10.028545,4,-1.8,0,227.1,86.6,0,48,48
18,FALSE,FALSE,83,TRUE,53.600303,10.02857,3.6,-4,41,229.5,86.6,0,49,49
18,FALSE,FALSE,129,TRUE,53.600289,10.028594,3.1,-1.6,59,231.7,86.6,0,50,50
18,FALSE,FALSE,161,TRUE,53.600276,10.028621,2.7,-2,60,234.1,86.4,0,51,51
18,FALSE,FALSE,131,TRUE,53.600258,10.028649,2.5,-1.8,63,236.7,86.4,0,52,52
18,FALSE,FALSE,127,TRUE,53.600242,10.028678,2.5,0,62,239.5,86.4,0,53,53
18,FALSE,FALSE,123,TRUE,53.600222,10.028712,2.6,0,62,242.6,86.4,0,54,54
18,FALSE,FALSE,119,TRUE,53.6002,10.028748,2.9,0,62,246.1,86.4,0,55,55
18,FALSE,FALSE,115,TRUE,53.600165,10.028779,3.3,0,62,250.6,86.4,0,56,56
18,FALSE,FALSE,111,TRUE,53.600123,10.028777,3.7,0.7,61,255.4,86.4,0,57,57
18,FALSE,FALSE,107,TRUE,53.600052,10.028763,4.8,0.7,61,263.4,86.4,0,58,58
18,FALSE,FALSE,103,TRUE,53.599968,10.028718,6.2,1.5,62,273.4,86.6,0,59,59
18,FALSE,FALSE,110,TRUE,53.599919,10.028722,6.5,2.7,68,278.7,86.6,0,60,60
18,FALSE,FALSE,136,TRUE,53.599885,10.028736,6.4,3.7,68,282.7,86.8,0,61,61
18,FALSE,FALSE,191,TRUE,53.599862,10.028764,6.1,5.4,65,286,87,0,62,62
18,FALSE,FALSE,255,TRUE,53.599851,10.028816,5.3,4.1,63,289.7,87.2,0,63,63
18,FALSE,FALSE,249,TRUE,53.599845,10.028871,4,3.9,67,293.5,87.4,0,64,64
18,FALSE,FALSE,220,TRUE,53.599841,10.028928,3.7,3.7,70,297.2,87.4,0,65,65
18,FALSE,FALSE,225,TRUE,53.599837,10.02899,3.7,3.6,72,301.4,87.6,0,66,66
18,FALSE,FALSE,228,TRUE,53.599836,10.029055,3.9,4.7,74,305.7,87.8,0,67,67
18,FALSE,FALSE,266,TRUE,53.599846,10.029118,4.1,5.8,74,310,88,0,68,68
18,FALSE,FALSE,243,TRUE,53.599861,10.02918,4.2,6,76,314.4,88.2,0,69,69
18,FALSE,FALSE,264,TRUE,53.599876,10.029239,4.3,6.4,76,318.7,88.6,2.2,70,70
18,FALSE,FALSE,266,TRUE,53.599891,10.029291,4.2,8.3,72,322.5,88.8,2.4,71,71
18,FALSE,FALSE,262,TRUE,53.599903,10.029334,4,8.8,69,325.7,89,2.6,72,72
18,FALSE,FALSE,256,TRUE,53.599918,10.029377,3.8,9.3,67,328.9,89.4,3,73,73
18,FALSE,FALSE,255,TRUE,53.599934,10.029421,3.6,11.5,64,332.3,89.8,3.4,74,74
18,FALSE,FALSE,206,TRUE,53.599948,10.029459,3.3,10.5,62,335.4,90,3.6,75,75
18,FALSE,FALSE,138,TRUE,53.59996,10.029491,3.1,11.5,58,337.9,90.4,4,76,76
18,FALSE,FALSE,146,TRUE,53.599975,10.029521,2.9,12,53,340.3,90.6,4.2,77,77
18,FALSE,FALSE,258,TRUE,53.599986,10.029551,2.8,9.5,48,342.7,91,4.6,78,78
18,FALSE,FALSE,222,TRUE,53.599996,10.029588,2.6,9,53,345.4,91.2,4.8,79,79
18,FALSE,FALSE,202,TRUE,53.599998,10.029633,2.6,5,55,348.4,91.4,5,80,80
