time,cadence,heartrate,km,kph,nm,power,altitude,lon,lat,headwind,grade,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,92,0,0.0066,31.3632,0,345,17.6,10.02225436,53.59219666,0,-6.0606,-255,0,-255,0,0,0,0,0,0,0,0
2,98,0,0.01375,31.3848,0,346,17.2,10.02221036,53.59213798,0,-5.5944,-255,0,-255,0,0,0,0,0,0,0,0
3,103,0,0.02297,32.364,0,295,16.6,10.02215194,53.59206179,0,-6.5076,-255,0,-255,0,0,0,0,0,0,0,0
4,86,0,0.03285,32.9112,0,124,16,10.02208706,53.59198208,0,-6.07288,-255,0,-255,0,0,0,0,0,0,0,0
5,51,0,0.04201,29.3976,0,22,15.4,10.02203082,53.59190698,0,-6.55022,-255,0,-255,0,0,0,0,0,0,0,0
6,32,0,0.05034,25.3548,0,14,14.6,10.02199586,53.59183489,0,-9.60383,-255,0,-255,0,0,0,0,0,0,0,0
7,13,0,0.05768,21.9384,0,6,14.2,10.02200098,53.59176985,0,-5.4496,-255,0,-255,0,0,0,0,0,0,0,0
8,10,0,0.06394,19.656,0,4,14,10.02204155,53.59172241,0,-3.19488,-255,0,-255,0,0,0,0,0,0,0,0
9,38,0,0.06969,21.3948,0,175,14,10.02211581,53.59169818,0,0,-255,0,-255,0,0,0,0,0,0,0,0
10,63,0,0.077,28.4184,0,389,13.8,10.02222226,53.59168117,0,-5.177,-255,0,-255,0,0,0,0,0,0,0,0
11,77,0,0.0855,31.2228,0,615,13.6,10.02234572,53.59165829,0,-4.80623,-255,0,-255,0,0,0,0,0,0,0,0
12,85,0,0.09434,31.9968,0,766,13.6,10.02247363,53.59163457,0,-4.24679,-255,0,-255,0,0,0,0,0,0,0,0
13,86,0,0.10384,35.19,0,728,13.4,10.02260967,53.59160867,0,-3.80656,-255,0,-255,0,0,0,0,0,0,0,0
14,89,0,0.11377,36.0612,0,703,12.8,10.02275292,53.59158318,0,-3.8035,-255,0,-255,0,0,0,0,0,0,0,0
15,92,0,0.12415,38.1204,0,679,12,10.02289767,53.59154714,0,-3.91919,-255,0,-255,0,0,0,0,0,0,0,0
16,96,0,0.13478,41.004,0,731,11,10.02303883,53.59150364,0,-3.89954,-255,0,-255,0,0,0,0,0,0,0,0
17,101,0,0.14637,43.4304,0,766,10.2,10.02319238,53.59145226,0,-4.04483,-255,0,-255,0,0,0,0,0,0,0,0
18,103,0,0.15943,45.2052,0,661,9.2,10.02336849,53.59139954,0,-4.49104,-255,0,-255,0,0,0,0,0,0,0,0
19,104,0,0.17226,45.7164,0,554,9,10.02355071,53.5913619,0,-4.64693,-255,0,-255,0,0,0,0,0,0,0,0
20,106,0,0.18586,45.8208,0,518,9,10.02374617,53.59132486,0,-4.37333,-255,0,-255,0,0,0,0,0,0,0,0
21,108,0,0.19943,47.8152,0,483,9,10.02394533,53.59129594,0,-4.13803,-255,0,-255,0,0,0,0,0,0,0,0
22,104,0,0.21335,48.15,0,456,8.6,10.0241527,53.59127381,0,-4.42539,-255,0,-255,0,0,0,0,0,0,0,0
23,104,0,0.22754,49.1544,0,473,8.6,10.02436518,53.59125654,0,-4.21486,-255,0,-255,0,0,0,0,0,0,0,0
24,103,0,0.24196,49.176,0,488,8.6,10.02458202,53.59124598,0,-3.61063,-255,0,-255,0,0,0,0,0,0,0,0
25,100,0,0.25671,50.0112,0,467,9,10.02480389,53.59123676,0,-2.56874,-255,0,-255,0,0,0,0,0,0,0,0
26,101,0,0.27112,51.3648,0,484,9.6,10.02501964,53.59122067,0,-1.21162,-255,0,-255,0,0,0,0,0,0,0,0
27,102,0,0.28581,51.2748,0,497,10.8,10.02523983,53.59120307,0,0.295508,-255,0,-255,0,0,0,0,0,0,0,0
28,103,0,0.30039,50.9724,0,476,11.6,10.02545835,53.59118991,0,1.6099,-255,0,-255,0,0,0,0,0,0,0,0
29,102,0,0.31434,50.6808,0,516,12.2,10.02566638,53.59116954,0,2.19589,-255,0,-255,0,0,0,0,0,0,0,0
30,104,0,0.32851,51.9264,0,496,12.6,10.02587568,53.59114263,0,2.47818,-255,0,-255,0,0,0,0,0,0,0,0
31,104,0,0.34269,50.418,0,477,12.4,10.0260859,53.59111858,0,2.33714,-255,0,-255,0,0,0,0,0,0,0,0
32,104,0,0.35732,50.5872,0,462,11.6,10.02630534,53.59110391,0,2.07767,-255,0,-255,0,0,0,0,0,0,0,0
33,104,0,0.37154,50.184,0,457,11.4,10.02651849,53.59108991,0,1.93702,-255,0,-255,0,0,0,0,0,0,0,0
34,103,0,0.38626,50.238,0,444,10.6,10.02673793,53.59106786,0,1.39355,-255,0,-255,0,0,0,0,0,0,0,0
35,104,0,0.40123,50.8824,0,457,10.8,10.02696147,53.59104792,0,1.25596,-255,0,-255,0,0,0,0,0,0,0,0
36,103,0,0.4158,51.2568,0,458,11.6,10.02717873,53.59102671,0,1.38866,-255,0,-255,0,0,0,0,0,0,0,0
37,103,0,0.43026,49.4496,0,441,11.6,10.02739574,53.5910107,0,0.571774,-255,0,-255,0,0,0,0,0,0,0,0
38,97,0,0.44418,50.7816,0,416,11.4,10.02760285,53.59099159,0,-0.120602,-255,0,-255,0,0,0,0,0,0,0,0
39,95,0,0.45839,51.012,0,466,11,10.02781567,53.59097508,0,-0.832201,-255,0,-255,0,0,0,0,0,0,0,0
40,95,0,0.47295,50.7888,0,443,11,10.02803511,53.59096996,0,-1.11449,-255,0,-255,0,0,0,0,0,0,0,0
41,98,0,0.48743,51.4836,0,434,10.4,10.02825388,53.59097457,0,-1.38781,-255,0,-255,0,0,0,0,0,0,0,0
42,101,0,0.50152,49.8636,0,429,11,10.02846602,53.59098304,0,-0.415153,-255,0,-255,0,0,0,0,0,0,0,0
43,102,0,0.51581,50.2164,0,435,11,10.02867985,53.5909962,0,-0.274506,-255,0,-255,0,0,0,0,0,0,0,0
44,102,0,0.53024,51.0012,0,426,11,10.02889509,53.59101766,0,0.268973,-255,0,-255,0,0,0,0,0,0,0,0
45,102,0,0.54433,48.528,0,403,11,10.02910179,53.59104968,0,0.135373,-255,0,-255,0,0,0,0,0,0,0,0
46,102,0,0.55854,49.7772,0,389,11,10.02930463,53.59108983,0,-0.413701,-255,0,-255,0,0,0,0,0,0,0,0
47,102,0,0.5735,49.6296,0,376,11.8,10.02951443,53.5911402,0,0.12106,-255,0,-255,0,0,0,0,0,0,0,0
48,106,0,0.58733,48.7512,0,286,11.8,10.02969984,53.59119561,0,0.264739,-255,0,-255,0,0,0,0,0,0,0,0
49,95,0,0.60151,47.3616,0,138,11.6,10.029872,53.5912718,0,0.405187,-255,0,-255,0,0,0,0,0,0,0,0
50,73,0,0.61425,41.5476,0,38,11.2,10.03001383,53.59134816,0,0.0912145,-255,0,-255,0,0,0,0,0,0,0,0
51,53,0,0.62564,32.7276,0,34,11,10.03013285,53.59142351,0,0.329987,-255,0,-255,0,0,0,0,0,0,0,0
52,32,0,0.6339,22.4172,0,22,10.4,10.03019278,53.59148738,0,-0.822239,-255,0,-255,0,0,0,0,0,0,0,0
53,9,0,0.63975,20.4696,0,6,9.8,10.03024433,53.59152946,0,-1.84788,-255,0,-255,0,0,0,0,0,0,0,0
54,12,0,0.64353,16.4304,0,0,9.6,10.03029378,53.59153625,0,-2.37698,-255,0,-255,0,0,0,0,0,0,0,0
55,32,0,0.64683,14.5728,0,128,9.8,10.03030652,53.59150834,0,-1.77092,-255,0,-255,0,0,0,0,0,0,0,0
56,51,0,0.65246,21.5208,0,345,10.2,10.03027652,53.59146282,0,-1.06044,-255,0,-255,0,0,0,0,0,0,0,0
57,61,0,0.65914,22.1544,0,522,10.8,10.03021575,53.5914168,0,-0.696995,-255,0,-255,0,0,0,0,0,0,0,0
58,71,0,0.66612,23.2956,0,692,11,10.03014148,53.59137163,0,-0.410461,-255,0,-255,0,0,0,0,0,0,0,0
59,80,0,0.67369,26.6256,0,714,11.4,10.03005188,53.59132905,0,0.258983,-255,0,-255,0,0,0,0,0,0,0,0
60,85,0,0.6831,32.0796,0,736,11.4,10.02993202,53.59128345,0,0.572955,-255,0,-255,0,0,0,0,0,0,0,0
61,90,0,0.6932,35.2548,0,765,11.6,10.02980042,53.59123827,0,0.946569,-255,0,-255,0,0,0,0,0,0,0,0
