time,cadence,heartrate,km,kph,nm,power,altitude,lon,lat,headwind,grade,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0.00196,5.4072,0,0,12.2,10.02538609,53.60146947,0,0,-255,0,-255,0,0,0,0,0,0,0,0
2,0,0,0.00413,4.8384,0,0,12.2,10.02541895,53.60146947,0,0,-255,0,-255,0,0,0,0,0,0,0,0
3,0,0,0.00733,5.7096,0,0,12.2,10.02546648,53.60146369,0,0,-255,0,-255,0,0,0,0,0,0,0,0
4,0,0,0.01288,8.802,0,0,12.2,10.02554728,53.60145028,0,0,-255,0,-255,0,0,0,0,0,0,0,0
5,0,0,0.01722,8.1612,0,0,12.2,10.02560402,53.6014284,0,0,-255,0,-255,0,0,0,0,0,0,0,0
6,0,0,0.02067,8.028,0,0,12.2,10.02563235,53.60139999,0,0,-255,0,-255,0,0,0,0,0,0,0,0
7,0,0,0.02392,10.044,0,0,12,10.02564258,53.60137057,0,-6.15384,-255,0,-255,0,0,0,0,0,0,0,0
8,39,0,0.02745,11.4876,0,236,12,10.02565314,53.60133838,0,0,-255,0,-255,0,0,0,0,0,0,0,0
9,34,0,0.03185,14.5116,0,219,12,10.02564484,53.60129907,0,0,-255,0,-255,0,0,0,0,0,0,0,0
10,41,0,0.03676,15.282,0,197,12,10.0256601,53.60125473,0,-0.615384,-255,0,-255,0,0,0,0,0,0,0,0
11,49,0,0.04258,17.568,0,238,12,10.02569648,53.60120402,0,-0.615384,-255,0,-255,0,0,0,0,0,0,0,0
12,56,0,0.04808,18.9792,0,263,12,10.02571173,53.60115498,0,-0.615384,-255,0,-255,0,0,0,0,0,0,0,0
13,62,0,0.05482,20.2212,0,276,12,10.02575347,53.60109564,0,-0.615384,-255,0,-255,0,0,0,0,0,0,0,0
14,69,0,0.06159,21.4992,0,278,12,10.02576998,53.60103462,0,-0.615384,-255,0,-255,0,0,0,0,0,0,0,0
15,71,0,0.06922,22.7412,0,127,12,10.02581349,53.60096681,0,-0.615384,-255,0,-255,0,0,0,0,0,0,0,0
16,77,0,0.07682,23.5476,0,117,11.8,10.02585146,53.60090076,0,-0.878541,-255,0,-255,0,0,0,0,0,0,0,0
17,79,0,0.08437,23.6484,0,167,11.8,10.02588213,53.60083446,0,-0.263157,-255,0,-255,0,0,0,0,0,0,0,0
