"power","lat","lon","cadence","distance","time","index","racetime","athlete","km","kph","grade"
0,53.59267,10.022598,0,3697.3,6545,768,567,"A",NA,NA,NA
0,53.592636,10.022579,0,3701.3,6546,769,568,"A",NA,NA,NA
0,53.592602,10.022558,0,3704.9,6547,770,569,"A",NA,NA,NA
0,53.592575,10.022537,6,3708.4,6548,771,570,"A",NA,NA,NA
65,53.592548,10.022517,20,3711.6,6549,772,571,"A",NA,NA,NA
NA,53.592679,10.022645,0,5684.6,6674,1323,571,"B",NA,NA,NA
143,53.592522,10.0225,32,3714.9,6550,773,572,"A",NA,NA,NA
NA,53.592656,10.022631,0,5687.3,6675,1324,572,"B",NA,NA,NA
261,53.592491,10.02248,38,3718.6,6551,774,573,"A",NA,NA,NA
NA,53.592634,10.022621,0,5689.9,6676,1325,573,"B",NA,NA,NA
347,53.592457,10.022455,44,3722.7,6552,775,574,"A",NA,NA,NA
NA,53.59261,10.022612,0,5692.8,6677,1326,574,"B",NA,NA,NA
NA,53.592699,10.02263,33,632.7,3477,163,574,"C",NA,NA,NA
443,53.592419,10.022428,49,3727.5,6553,776,575,"A",NA,NA,NA
NA,53.592584,10.022597,0,5695.7,6678,1327,575,"B",NA,NA,NA
NA,53.592664,10.022608,33,638.8,3478,164,575,"C",NA,NA,NA
0,53.59260611,10.02254371,0,NA,7196,878,575,"E",3.96463,9.0684,-0.377372
504,53.592369,10.022394,57,3733.3,6554,777,576,"A",NA,NA,NA
NA,53.592559,10.022575,0,5698.8,6679,1328,576,"B",NA,NA,NA
NA,53.592636,10.022589,33,645.1,3479,165,576,"C",NA,NA,NA
0,53.59258625,10.02252694,0,NA,7197,879,576,"E",3.9671,8.1972,-0.377372
551,53.592308,10.02236,63,3740.2,6555,778,577,"A",NA,NA,NA
NA,53.592526,10.02255,0,5702.9,6680,1329,577,"B",NA,NA,NA
NA,53.592609,10.022566,33,651.3,3480,166,577,"C",NA,NA,NA
0,53.59256865,10.02250515,0,NA,7198,880,577,"E",3.96953,9.036,-0.377372
601,53.592243,10.022322,69,3747.9,6556,779,578,"A",NA,NA,NA
NA,53.592481,10.022521,0,5708.3,6681,1330,578,"B",NA,NA,NA
NA,53.592582,10.022531,33,655.9,3481,167,578,"C",NA,NA,NA
294,53.59254736,10.02248084,37,NA,7199,881,578,"E",3.9724,10.6128,-0.377372
605,53.592175,10.022274,73,3756.2,6557,780,579,"A",NA,NA,NA
0,53.59243,10.022488,0,5714.4,6682,1331,579,"B",NA,NA,NA
NA,53.592566,10.022501,33,659.8,3482,168,579,"C",NA,NA,NA
454,53.59251877,10.02245553,52,NA,7200,882,579,"E",3.97599,13.2336,0
562,53.592102,10.02222,78,3765.1,6558,781,580,"A",NA,NA,NA
0,53.592372,10.022448,0,5721.4,6683,1332,580,"B",NA,NA,NA
NA,53.592537,10.022465,33,663.8,3483,169,580,"C",NA,NA,NA
561,53.59248692,10.02242636,64,NA,7201,883,580,"E",3.98001,13.9752,0
445,53.592026,10.02216,81,3774.5,6559,782,581,"A",NA,NA,NA
0,53.59231,10.0224,0,5728.9,6684,1333,581,"B",NA,NA,NA
NA,53.5925,10.022423,33,666.4,3484,170,581,"C",NA,NA,NA
637,53.59244795,10.02239107,75,NA,7202,884,581,"E",3.98492,17.0316,0
274,53.591949,10.022099,82,3784,6560,783,582,"A",NA,NA,NA
9,53.592245,10.022346,8,5737,6685,1334,582,"B",NA,NA,NA
NA,53.592451,10.02238,33,669.7,3485,171,582,"C",NA,NA,NA
669,53.59238877,10.02235377,85,NA,7203,885,582,"E",3.99196,25.866,0
163,53.591873,10.022047,62,3793.2,6561,784,583,"A",NA,NA,NA
261,53.592177,10.02229,44,5745.4,6686,1335,583,"B",NA,NA,NA
NA,53.592402,10.022342,33,673.8,3486,172,583,"C",NA,NA,NA
661,53.5923114,10.02230038,93,NA,7204,886,583,"E",4.00125,32.8176,0
76,53.591801,10.022011,42,3801.5,6562,785,584,"A",NA,NA,NA
513,53.592103,10.022227,98,5754.6,6687,1336,584,"B",NA,NA,NA
NA,53.592335,10.02229,33,678.8,3487,173,584,"C",NA,NA,NA
582,53.5922384,10.02223919,97,NA,7205,887,584,"E",4.01032,31.9788,0
10,53.591736,10.022001,26,3808.9,6563,786,585,"A",NA,NA,NA
431,53.592023,10.022168,102,5764.4,6688,1337,585,"B",NA,NA,NA
NA,53.592192,10.022185,33,684.2,3488,174,585,"C",NA,NA,NA
345,53.59219666,10.02225436,92,NA,1,1,585,"D",0.0066,31.3632,-6.0606
113,53.59216506,10.02218077,0,NA,7206,888,585,"E",4.01935,30.9708,0
35,53.591682,10.022032,24,3815.4,6564,787,586,"A",NA,NA,NA
291,53.591942,10.022108,84,5774.4,6689,1338,586,"B",NA,NA,NA
NA,53.592112,10.022116,33,692.1,3489,175,586,"C",NA,NA,NA
346,53.59213798,10.02221036,98,NA,2,2,586,"D",0.01375,31.3848,-5.5944
113,53.59209054,10.02212998,100,NA,7207,889,586,"E",4.0283,32.112,0
60,53.591648,10.022099,22,3821.6,6565,788,587,"A",NA,NA,NA
202,53.591863,10.022056,59,5783.7,6690,1339,587,"B",NA,NA,NA
NA,53.592029,10.022063,33,706.3,3490,176,587,"C",NA,NA,NA
295,53.59206179,10.02215194,103,NA,3,3,587,"D",0.02297,32.364,-6.5076
403,53.5920146,10.02207197,105,NA,7208,890,587,"E",4.03758,32.4468,0.215516
551,53.591621,10.022192,67,3828.2,6566,789,588,"A",NA,NA,NA
113,53.591792,10.022022,33,5792.1,6691,1340,588,"B",NA,NA,NA
NA,53.591948,10.022007,33,718,3491,177,588,"C",NA,NA,NA
124,53.59198208,10.02208706,86,NA,4,4,588,"D",0.03285,32.9112,-6.07288
375,53.59193631,10.02201405,103,NA,7209,891,588,"E",4.0471,32.7168,0.215516
618,53.591606,10.022301,77,3835.6,6567,790,589,"A",NA,NA,NA
24,53.591733,10.022035,7,5798.9,6692,1341,589,"B",NA,NA,NA
NA,53.59188,10.021956,33,730.3,3492,178,589,"C",NA,NA,NA
22,53.59190698,10.02203082,51,NA,5,5,589,"D",0.04201,29.3976,-6.55022
154,53.59185878,10.02195982,104,NA,7210,892,589,"E",4.05645,31.2732,0.215516
621,53.591595,10.022424,77,3843.9,6568,791,590,"A",NA,NA,NA
0,53.59169,10.022098,0,5805.3,6693,1342,590,"B",NA,NA,NA
NA,53.591806,10.021909,33,743.8,3493,179,590,"C",NA,NA,NA
14,53.59183489,10.02199586,32,NA,6,6,590,"D",0.05034,25.3548,-9.60383
0,53.59178284,10.02191666,0,NA,7211,893,590,"E",4.06533,27.0072,0.215516
619,53.591579,10.022554,77,3852.8,6569,792,591,"A",NA,NA,NA
517,53.591666,10.022189,53,5812,6694,1343,591,"B",NA,NA,NA
NA,53.591723,10.021908,33,756.2,3494,180,591,"C",NA,NA,NA
6,53.59176985,10.02200098,13,NA,7,7,591,"D",0.05768,21.9384,-5.4496
0,53.59172509,10.02190752,0,NA,7212,894,591,"E",4.07171,19.9512,0.215516
618,53.591557,10.022693,76,3862.2,6570,793,592,"A",NA,NA,NA
817,53.591647,10.022301,89,5819.8,6695,1344,592,"B",NA,NA,NA
NA,53.591658,10.021953,33,768.4,3495,181,592,"C",NA,NA,NA
4,53.59172241,10.02204155,10,NA,8,8,592,"D",0.06394,19.656,-3.19488
0,53.59169358,10.02193979,0,NA,7213,895,592,"E",4.07572,14.7132,0.215516
641,53.591526,10.022835,79,3872.3,6571,794,593,"A",NA,NA,NA
829,53.591626,10.022435,93,5828.9,6696,1345,593,"B",NA,NA,NA
NA,53.591662,10.022021,33,779.5,3496,182,593,"C",NA,NA,NA
175,53.59169818,10.02211581,38,NA,9,9,593,"D",0.06969,21.3948,0
0,53.59167564,10.02199637,0,NA,7214,896,593,"E",4.07988,17.568,0.215516
615,53.591484,10.022982,82,3883,6572,795,594,"A",NA,NA,NA
852,53.591602,10.022571,97,5838.4,6697,1346,594,"B",NA,NA,NA
NA,53.591644,10.022083,33,788.8,3497,183,594,"C",NA,NA,NA
389,53.59168117,10.02222226,63,NA,10,10,594,"D",0.077,28.4184,-5.177
562,53.59165611,10.02208119,61,NA,7215,897,594,"E",4.08576,22.1688,0.215516
389,53.591446,10.023133,88,3893.8,6573,796,595,"A",NA,NA,NA
501,53.591576,10.022717,108,5848.4,6698,1347,595,"B",NA,NA,NA
NA,53.591618,10.022151,33,792.6,3498,184,595,"C",NA,NA,NA
615,53.59165829,10.02234572,77,NA,11,11,595,"D",0.0855,31.2228,-4.80623
701,53.5916427,10.02219209,68,NA,7216,898,595,"E",4.09324,27.2412,0.215516
344,53.591408,10.023292,89,3905.3,6574,797,596,"A",NA,NA,NA
476,53.591546,10.02287,105,5859.1,6699,1348,596,"B",NA,NA,NA
NA,53.591576,10.022263,33,792.7,3499,185,596,"C",NA,NA,NA
766,53.59163457,10.02247363,85,NA,12,12,596,"D",0.09434,31.9968,-4.24679
744,53.59162551,10.02232125,77,NA,7217,899,596,"E",4.10199,30.7368,0.215516
477,53.591366,10.023458,90,3917.2,6575,798,597,"A",NA,NA,NA
499,53.591507,10.023027,104,5870.3,6700,1349,597,"B",NA,NA,NA
NA,53.591551,10.022406,33,796.7,3500,186,597,"C",NA,NA,NA
728,53.59160867,10.02260967,86,NA,13,13,597,"D",0.10384,35.19,-3.80656
758,53.59160833,10.02245905,87,NA,7218,900,597,"E",4.1113,34.632,0
503,53.591339,10.023623,92,3928.6,6576,799,598,"A",NA,NA,NA
606,53.591466,10.023191,107,5882,6701,1350,598,"B",NA,NA,NA
NA,53.591529,10.022574,33,802.6,3501,187,598,"C",NA,NA,NA
703,53.59158318,10.02275292,89,NA,14,14,598,"D",0.11377,36.0612,-3.8035
726,53.59157992,10.02261135,97,NA,7219,901,598,"E",4.12187,37.7208,0
483,53.591312,10.023799,95,3940.6,6577,800,599,"A",NA,NA,NA
603,53.591428,10.023363,112,5894.2,6702,1351,599,"B",NA,NA,NA
NA,53.591505,10.02272,33,807.9,3502,188,599,"C",NA,NA,NA
679,53.59154714,10.02289767,92,NA,15,15,599,"D",0.12415,38.1204,-3.91919
712,53.59154647,10.02277069,102,NA,7220,902,599,"E",4.13305,39.7044,0
471,53.591297,10.023988,96,3953.3,6578,801,600,"A",NA,NA,NA
604,53.591391,10.023541,115,5906.7,6703,1352,600,"B",NA,NA,NA
NA,53.591474,10.022873,33,816.3,3503,189,600,"C",NA,NA,NA
731,53.59150364,10.02303883,96,NA,16,16,600,"D",0.13478,41.004,-3.89954
649,53.59151697,10.02293967,103,NA,7221,903,600,"E",4.14471,41.8212,0
434,53.591282,10.024182,98,3966.3,6579,802,601,"A",NA,NA,NA
574,53.591358,10.02373,112,5919.8,6704,1353,601,"B",NA,NA,NA
NA,53.591427,10.023081,33,826.2,3504,190,601,"C",NA,NA,NA
